
# This file holds the information azure chef extension packages that were published as "public" over public namespace.
# Public Namespace is "Chef.Bootstrap.WindowsAzure" and extension names per platform are available in Publish.json file.


# Format
# [date-yyyymmdd,platform,chef-client-version,chef-extension-version,git-branch,git-revision]

  [20140526, ubuntu, 11.12.4.1, 11.12.4.2, master, d531315ea42ccda9f7a3d03c34f8ee0499072142]
  [20141201, ubuntu, 11.16.4.1, 11.16.4.2, master, 1a58702ee04f7f74d7accb001b152b19a594a8f3]
  [20141201, windows, 11.16.4.1, 11.16.4.2, master, 1a58702ee04f7f74d7accb001b152b19a594a8f3]
  [20150310, ubuntu, 12.1.1, 1201.12.1.1, master, 00d08f44953069efa5893f826ebe85fa5e151981]
  [20150310, windows, 12.1.1, 1201.12.1.1, master, 00d08f44953069efa5893f826ebe85fa5e151981]
  [20150319, windows, 12.1.1, 1203.12.1.1, master, be43af987010fe09057e8a341418918e28787d3a]
  [20150330, windows, 11.18.6.1, 11.18.6.1, master, 89d4a47773648dd07b8c54cc21cd993a04a22dbe]
  [20150330, ubuntu, 11.18.6.1, 11.18.6.1, master, 89d4a47773648dd07b8c54cc21cd993a04a22dbe]
  [20150331, windows, 12.2.1, 1204.12.2.1, master, 1f127943ffdc4663cb81d81bfee7d69b6d8fb09b]
  [20150331, ubuntu, 12.2.1, 1204.12.2.1, master, 1f127943ffdc4663cb81d81bfee7d69b6d8fb09b]
  [20150401, windows, 12.2.1, 1205.12.2.1, master, 08be805a4cfd5330601eded461b520de6b286723]
  [20150401, ubuntu, 12.2.1, 1205.12.2.1, master, 08be805a4cfd5330601eded461b520de6b286723]
  [20150511, windows, 12.3.0, 1206.12.3.0, master, f2628f3632caf9dbe69707300dbe1c9424e57d8a]
  [20150511, ubuntu, 12.3.0, 1206.12.3.0, master, f2628f3632caf9dbe69707300dbe1c9424e57d8a]
  [20150514, windows, 12.3.0, 1207.12.3.0, master, 27be8a3c4ae0b0541e8787972712cc02624caf5a]
  [20150514, ubuntu, 12.3.0, 1207.12.3.0, master, 27be8a3c4ae0b0541e8787972712cc02624caf5a]
  [20150721, windows, 12.4.1, 1210.12.4.1, master, 410e0cabea1f44d34027f0e47022c83cdbc690d4]
  [20150721, ubuntu, 12.4.1, 1210.12.4.1, master, 410e0cabea1f44d34027f0e47022c83cdbc690d4]
  [20150818, windows, 12.4.1, 1210.12.4.1000, master, 4d732546be1f8c44abb74dcff7c2a69f1b2c490f]
  [20150821, ubuntu, 12.4.1, 1210.12.4.1000, master, 4d732546be1f8c44abb74dcff7c2a69f1b2c490f]
  [20150910, ubuntu, 12.4.1, 1210.12.4.1001, master, aad6f3127c36681cbb1bc8394959ceaf951b7570]
  [20150923, ubuntu, 12.4.2, 1210.12.4.2000, master, fbf3eacf2a163bbbee9b102bbb9ca1f8027335e7]
  [20151027, windows, 12.5.1, 1210.12.5.1000, master, 3c5a17d0c27d497d7bd31ce83d9c32d86d359624]
  [20151027, ubuntu, 12.5.1, 1210.12.5.1000, master, 3c5a17d0c27d497d7bd31ce83d9c32d86d359624]
  [20151029, windows, 11.18.6, 11.18.6.2, master, 89d4a47773648dd07b8c54cc21cd993a04a22dbe]
  [20151029, ubuntu, 11.18.6, 11.18.6.2, master, 89d4a47773648dd07b8c54cc21cd993a04a22dbe]
  [20151102, ubuntu, 12.5.1, 1210.12.5.1001, master, 872753013fb512de6a0965ccd0d67f789539cd9e]

  # Format after decoupling extension version and chef-client version
  # [date-yyyymmdd,platform,chef-extension-version,git-branch,git-revision]

  [20151119, windows, 1210.12.100, master, a79a9de63485fe2bc0e14425e94861247af69679]
  [20151119, ubuntu, 1210.12.100, master, a79a9de63485fe2bc0e14425e94861247af69679]
  [20151203, windows, 1210.12.100.1000, master, b0031a65c69ce7dd7bb9c22276898e842f4819d1]
  [20151203, ubuntu, 1210.12.100.1000, master, b0031a65c69ce7dd7bb9c22276898e842f4819d1]
  [20160204, windows, 1210.12.101.1000, master, c54db1e0d2ecad68939df503dbfbdf4ac3981db3]
  [20160212, ubuntu, 1210.12.101.1001, master, b797a61c3857fcb2eb4e88e9391d4ff718d7c110]
  [20160328, windows, 1210.12.102.1000, master, ca5dea9c4414aeb327e84a0b7e4258428a0f5570]
  [20160328, ubuntu, 1210.12.102.1000, master, ca5dea9c4414aeb327e84a0b7e4258428a0f5570]
  [20160524, windows, 1210.12.103.1000, master, 935040ca8e6502324d1a221ac60205a8b8932c4d]
  [20160524, ubuntu, 1210.12.103.1000, master, 935040ca8e6502324d1a221ac60205a8b8932c4d]
  [20160620, windows, 1210.12.104.1000, master, 7a3f45e400953d86497b2ba2005a336149d2e75c]
  [20160620, ubuntu, 1210.12.104.1000, master, 7a3f45e400953d86497b2ba2005a336149d2e75c]
  [20160627, windows, 1210.12.105.1000, master, 8aaedc7f94c771f3910c6c77dedae88b6414b96f]
  [20160627, ubuntu, 1210.12.105.1000, master, 8aaedc7f94c771f3910c6c77dedae88b6414b96f]
  [20160810, windows, 1210.12.105.1001, master, e29b840631c421bea129c2bf980a8463f2cf4baa]
  [20160810, ubuntu, 1210.12.105.1001, master, e29b840631c421bea129c2bf980a8463f2cf4baa]
  [20161019, windows, 1210.12.106.1000, master, 7d97896548fe00e7fab5f8840cb795bc5088de67]
  [20161019, ubuntu, 1210.12.106.1000, master, 7d97896548fe00e7fab5f8840cb795bc5088de67]
  [20161226, windows, 1210.12.107.1000, master, 7e8e9e216e0fae7849dd987844ea86ee9d91a738]
  [20170103, windows, 1210.12.107.1001, master, 703855deeaf4d81004d1641dbedc3fdb0d878d17]
  [20170130, ubuntu, 1210.12.106.1001, master, fdc12ebab60b28b4ab8f83c167cf2f694f01cb0c]
  [20170216, windows, 1210.12.108.1000, master, d4b3fe20be4893cfb6e462337c081b46a3b7b48f]
  [20170317, windows, 1210.12.109.1000, master, 983990beb2971de04d8a566c09c77adaec894305]
  [20170328, windows, 1210.12.109.1002, master, e8e788dde8c5cd3f78d8a5b01ce83c5e52ca8c9e]
  [20170331, windows, 1210.12.109.1003, master, 2894694ee7bc2fbb4bf68901bf52817e03a0ea1d]
  [20170518, ubuntu, 1210.12.109.1004, master, a10ac20e1a2d8f14160abccb851d1fe66f28e9c5]
  [20170518, windows, 1210.12.109.1004, master, a10ac20e1a2d8f14160abccb851d1fe66f28e9c5]
  [20170703, windows, 1210.12.109.1005, master, 087a7c9d3ef597b649d184c3906f5156e47ce32b]
  [20171115, ubuntu, 1210.12.110.1000, master, f4dfca2c3041c69cf60e33d24eb70e234c985b98]
  [20171115, windows, 1210.12.110.1000, master, f4dfca2c3041c69cf60e33d24eb70e234c985b98]
  [20180430, ubuntu, 1210.12.110.1001, master, 92888bcaf9611a2a5956d2e76386dd570a1db3fc]
  [20180430, windows, 1210.12.110.1001, master, 92888bcaf9611a2a5956d2e76386dd570a1db3fc]
  [20180823, ubuntu, 1210.12.110.1002, master, bcd77ad3c72144794d16723760c8084eec10287b]
